Name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,Status,Finish,Maybeboard,Image URL,Image Back URL,Tags,Notes,MTGO ID
"Steel Overseer",2,"Artifact Creature - Construct",,"m11","214",rare,c,Not Owned,Non-foil,false,,,"artifacts, counters, artifacts_payoff, u2.61, u2.65, u4.2, core","",37418,
"Adaptive Automaton",3,"Artifact Creature - Construct",,"m12","201",rare,c,Not Owned,Non-foil,false,,,"artifacts, tribal, tokens, tribal_payoff, u2.0, u4.6.2, core","",41577,
"Juggernaut",4,"Artifact Creature - Juggernaut",,"bbd","238",uncommon,c,Owned,Non-foil,false,,,"occasional","",,
"Lodestone Golem",4,"Artifact Creature - Golem",,"mm2","219",rare,c,Owned,Non-foil,false,,,"occasional","",57168,
"Silent Arbiter",4,"Artifact Creature - Construct",,"c20","250",rare,c,Owned,Non-foil,false,,,"occasional","",,
"Solemn Simulacrum",4,"Artifact Creature - Golem",,"c20","253",rare,c,Owned,Non-foil,false,,,"occasional","",,
"Hollow One",5,"Artifact Creature - Golem",,"hou","163",rare,c,Owned,Non-foil,false,,,"occasional","",64850,
"Precursor Golem",5,"Artifact Creature - Golem",,"mm2","225",rare,c,Owned,Non-foil,false,,,"occasional","",57256,
"Duplicant",6,"Artifact Creature - Shapeshifter",,"mrd","165",rare,c,Owned,Non-foil,false,,,"occasional","",20215,
"Scuttling Doom Engine",6,"Artifact Creature - Construct",,"m15","229",rare,c,Not Owned,Non-foil,false,,,"artifacts, ramp, reanimator, enrage, u2.72, u2.91, core","",53636,
"Steel Hellkite",6,"Artifact Creature - Dragon",,"c18","224",rare,c,Owned,Non-foil,false,,,"occasional","",,
"Triskelion",6,"Artifact Creature - Construct",,"ddf","57",rare,c,Owned,Non-foil,false,,,"occasional","",37722,
"Platinum Angel",7,"Artifact Creature - Angel",,"cn2","214",mythic,c,Owned,Non-foil,false,,,"occasional","",,
"Sundering Titan",8,"Artifact Creature - Golem",,"dst","146",rare,c,Owned,Non-foil,false,,,"occasional","",20305,
"Ulamog's Crusher",8,"Creature - Eldrazi",,"uma","8",common,c,Owned,Non-foil,false,,,"occasional","",70089,
"Basilisk Collar",1,"Artifact - Equipment",,"mm3","216",rare,c,Not Owned,Non-foil,false,,,"artifacts, pingers, lifegain, u3.9, core","",63217,
"Bonesplitter",1,"Artifact - Equipment",,"mma","202",common,c,Owned,Non-foil,false,,,"occasional","",48912,
"Brittle Effigy",1,"Artifact",,"m11","202",rare,c,Not Owned,Non-foil,false,,,"artifacts, flash, u2.0, removal, core","",37358,
"Ghostfire Blade",1,"Artifact - Equipment",,"ktk","220",rare,c,Owned,Non-foil,false,,,"occasional","",54192,
"Lotus Bloom",0,"Artifact",,"mma","208",rare,c,Owned,Non-foil,false,,,"occasional","",49050,
"Pacification Array",1,"Artifact",,"aer","168",uncommon,c,Not Owned,Non-foil,false,,,"artifacts, manasink, tappers, u2.92, core","",62891,
"Sigil of Distinction",0,"Artifact - Equipment",,"ala","219",rare,c,Owned,Non-foil,false,,,"occasional","",30933,
"Stoneforge Masterwork",1,"Artifact - Equipment",,"ogw","166",rare,c,Not Owned,Non-foil,false,,,"tribal, tokens, tribal_payoff, heroic, u4.4, core","",59589,
"Sylvok Lifestaff",1,"Artifact - Equipment",,"som","209",common,c,Not Owned,Non-foil,false,,,"artifacts, sacrifice, lifegain, heroic, u2.60, core","",38173,
"Altar of Dementia",2,"Artifact",,"mh1","218",rare,c,Owned,Non-foil,false,,,"occasional","",72808,
"Contagion Clasp",2,"Artifact",,"som","144",uncommon,c,Not Owned,Non-foil,false,,,"counters, artifacts, counters_payoff, u2.60, u3.9, removal, core","",38085,
"Cranial Plating",2,"Artifact - Equipment",,"mm2","206",uncommon,b,Not Owned,Non-foil,false,,,"artifacts, artifacts_payoff, aggrocontrol, heroic, u2.63, core","",57392,
"Dolmen Gate",2,"Artifact",,"lrw","256",rare,c,Owned,Non-foil,false,,,"occasional","",28455,
"Howling Mine",2,"Artifact",,"c16","257",rare,c,Owned,Non-foil,false,,,"occasional","",,
"Jinxed Idol",2,"Artifact",,"m11","208",rare,c,Owned,Non-foil,false,,,"occasional","",37504,
"Lightning Greaves",2,"Artifact - Equipment",,"arc","110",uncommon,c,Not Owned,Non-foil,false,,,"artifacts, aggrocontrol, heroic, u2.0, core","",,
"Mask of Memory",2,"Artifact - Equipment",,"mrd","203",uncommon,c,Not Owned,Non-foil,false,,,"artifacts, graveyard, fliers, tappers, fliers_payoff, tappers_payoff, aggrocontrol, heroic, u3.8, core","",19907,
"Mesmeric Orb",2,"Artifact",,"mrd","204",rare,c,Owned,Non-foil,false,,,"occasional","",19761,
"Mortarpod",2,"Artifact - Equipment",,"mm2","222",uncommon,c,Owned,Non-foil,false,,,"occasional","",57284,
"Powder Keg",2,"Artifact",,"uds","136",rare,c,Owned,Non-foil,false,,,"occasional","",12939,
"Prismatic Lens",2,"Artifact",,"uma","234",uncommon,c,Not Owned,Non-foil,false,,,"artifacts, ramp, u2.80, u3.1, u4.7, smoothing, core","",70545,
"Runechanter's Pike",2,"Artifact - Equipment",,"isd","231",rare,c,Not Owned,Non-foil,false,,,"spells, heroic, u2.60, u4.8, core","",42692,
"Shrine of Burning Rage",2,"Artifact",,"nph","153",uncommon,c,Owned,Non-foil,false,,,"occasional","",39810,
"Shrine of Loyal Legions",2,"Artifact",,"md1","5",uncommon,c,Owned,Non-foil,false,,,"occasional","",,
"Strionic Resonator",2,"Artifact",,"c19","224",rare,c,Owned,Non-foil,false,,,"occasional","",77570,
"Sword of the Animist",2,"Legendary Artifact - Equipment",,"c17","227",rare,c,Owned,Non-foil,false,,,"occasional","",,
"Vulshok Morningstar",2,"Artifact - Equipment",,"ddi","66",uncommon,c,Owned,Non-foil,false,,,"occasional","",43776,
"Ashnod's Altar",3,"Artifact",,"ema","218",uncommon,c,Owned,Non-foil,false,,,"occasional","",60963,
"Birthing Boughs",3,"Artifact",,"mh1","221",uncommon,c,Not Owned,Non-foil,false,,,"artifacts, tribal, tokens, flash, u4.7.4, core","",72814,
"Chromatic Lantern",3,"Artifact",,"rtr","226",rare,c,Not Owned,Non-foil,false,,,"artifacts, rainbow, u2.0, u2.82, smoothing, core","",46783,
"Crystal Ball",3,"Artifact",,"c18","201",uncommon,c,Owned,Non-foil,false,,,"occasional","",,
"Hall of Triumph",3,"Legendary Artifact",,"jou","162",rare,c,Owned,Non-foil,false,,,"occasional","",51972,
"Oblivion Stone",3,"Artifact",,"mrd","222",rare,c,Not Owned,Non-foil,false,,,"manasink, control, artifacts, artifact_removal, enchantment_removal, u2.0, removal, core","",20101,
"Pristine Talisman",3,"Artifact",,"c13","255",common,c,Not Owned,Non-foil,false,,,"artifacts, lifegain, u2.0, u2.74, u3.2, core","",51136,
"Puppet Strings",3,"Artifact",,"dde","22",uncommon,c,Not Owned,Non-foil,false,,,"artifacts, tappers, pingers, manasink, u2.91, u3.11, core","",35375,
"Sands of Delirium",3,"Artifact",,"m13","216",rare,c,Owned,Non-foil,false,,,"occasional","",45588,
"Vulshok Battlegear",3,"Artifact - Equipment",,"ddi","68",uncommon,c,Owned,Non-foil,false,,,"occasional","",43772,
"Bonehoard",4,"Artifact - Equipment",,"mbs","100",rare,c,Not Owned,Non-foil,false,,,"artifacts, graveyard, u2.0, core","",39503,
"Erratic Portal",4,"Artifact",,"exo","132",rare,c,Owned,Non-foil,false,,,"occasional","",10645,
"Goblin Charbelcher",4,"Artifact",,"ddt","57",rare,c,Owned,Non-foil,false,,,"occasional","",,
"Helm of Possession",4,"Artifact",,"tmp","291",rare,c,Not Owned,Non-foil,false,,,"artifacts, sacrifice, u2.62, u3.9, core","",9757,
"Icy Manipulator",4,"Artifact",,"dom","219",uncommon,c,Owned,Non-foil,false,,,"occasional","",67903,
"Nevinyrral's Disk",4,"Artifact",,"c17","217",rare,c,Owned,Non-foil,false,,,"occasional","",,
"Panharmonicon",4,"Artifact",,"kld","226",rare,c,Owned,Non-foil,false,,,"occasional","",61801,
"Serrated Arrows",4,"Artifact",,"tsb","114",rare,c,Not Owned,Non-foil,false,,,"artifacts, counters, pingers, u2.0, removal, core","",26065,
"Smokestack",4,"Artifact",,"v14","11",mythic,c,Owned,Non-foil,false,,,"occasional","",53941,
"Trading Post",4,"Artifact",,"cm2","225",rare,c,Owned,Non-foil,false,,,"occasional","",,
"Untethered Express",4,"Artifact - Vehicle",,"aer","179",uncommon,c,Owned,Non-foil,false,,,"occasional","",62885,
"Well of Lost Dreams",4,"Artifact",,"c17","231",rare,c,Owned,Non-foil,false,,,"occasional","",,
"Conjurer's Closet",5,"Artifact",,"avr","214",rare,c,Not Owned,Non-foil,false,,,"artifacts, blink, u2.0, u4.7, core","",43927,
"Mirari",5,"Legendary Artifact",,"c13","246",rare,c,Owned,Non-foil,false,,,"occasional","",51120,
"Contagion Engine",6,"Artifact",,"som","145",rare,c,Owned,Non-foil,false,,,"occasional","",38351,
"Obelisk of Urd",6,"Artifact",,"m15","222",rare,c,Not Owned,Non-foil,false,,,"tribal, tokens, tribal_payoff, u2.0, u4.2, occasional","",53650,
"Glacial Fortress",0,"Land",WU,"m11","225",rare,l,Not Owned,Non-foil,false,,,"u2.0, core","",37222,
"Temple of Enlightenment",0,"Land",WU,"bng","163",rare,l,Not Owned,Non-foil,false,,,"u2.92, smoothing, core","",51561,
"Clearwater Pathway",0,"Land",UB,"znr","286",rare,l,Owned,Non-foil,false,,,"core","",,
"Temple of Deceit",0,"Land",UB,"ths","225",rare,l,Not Owned,Non-foil,false,,,"u2.0, u2.92, smoothing, core","",50264,
"Dragonskull Summit",0,"Land",BR,"m10","223",rare,l,Not Owned,Non-foil,false,,,"u2.0, core","",32863,
"Temple of Malice",0,"Land",BR,"bng","164",rare,l,Not Owned,Non-foil,false,,,"u2.92, smoothing, core","",51563,
"Cragcrown Pathway",0,"Land",GR,"znr","287",rare,l,Owned,Non-foil,false,,,"core","",,
"Kessig Wolf Run",0,"Land",GR,"c20","284",rare,l,Owned,Non-foil,false,,,"occasional","",,
"Temple of Abandon",0,"Land",RG,"ths","224",rare,l,Not Owned,Non-foil,false,,,"u2.92, smoothing, core","",50266,
"Branchloft Pathway",0,"Land",GW,"znr","258",rare,l,Owned,Non-foil,false,,,"core","",83513,
"Temple of Plenty",0,"Land",WG,"bng","165",rare,l,Not Owned,Non-foil,false,,,"u2.92, smoothing, core","",51565,
"Brightclimb Pathway",0,"Land",BW,"znr","259",rare,l,Owned,Non-foil,false,,,"core","",83517,
"Temple of Silence",0,"Land",WB,"ths","227",rare,l,Not Owned,Non-foil,false,,,"u2.0, smoothing, core","",50268,
"Temple of Malady",0,"Land",BG,"jou","165",rare,l,Not Owned,Non-foil,false,,,"u2.0, smoothing, core","",51968,
"Woodland Cemetery",0,"Land",BG,"isd","249",rare,l,Not Owned,Non-foil,false,,,"u2.0, core","",42660,
"Hinterland Harbor",0,"Land",UG,"isd","241",rare,l,Not Owned,Non-foil,false,,,"u2.0, core","",42670,
"Temple of Mystery",0,"Land",UG,"ths","226",rare,l,Not Owned,Non-foil,false,,,"u2.0, smoothing, core","",50272,
"Riverglide Pathway",0,"Land",RU,"znr","264",rare,l,Owned,Non-foil,false,,,"core","",83535,
"Temple of Epiphany",0,"Land",UR,"jou","164",rare,l,Not Owned,Non-foil,false,,,"u2.0, smoothing, core","",51966,
"Needleverge Pathway",0,"Land",RW,"znr","263",rare,l,Owned,Non-foil,false,,,"core","",83531,
"Temple of Triumph",0,"Land",WR,"ths","228",rare,l,Not Owned,Non-foil,false,,,"u2.0, smoothing, core","",50270,
"Seaside Citadel",0,"Land",WUG,"ala","229",uncommon,l,Not Owned,Non-foil,false,,,"u2.0, core","",31015,
"Arcane Sanctum",0,"Land",WUB,"ala","220",uncommon,l,Not Owned,Non-foil,false,,,"u2.0, core","",31205,
"Crumbling Necropolis",0,"Land",UBR,"ala","222",uncommon,l,Not Owned,Non-foil,false,,,"u2.0, core","",31183,
"Savage Lands",0,"Land",BRG,"ala","228",uncommon,l,Not Owned,Non-foil,false,,,"u2.0, core","",30945,
"Jungle Shrine",0,"Land",WRG,"ala","226",uncommon,l,Not Owned,Non-foil,false,,,"u2.0, core","",31131,
"Sandsteppe Citadel",0,"Land",WBG,"ktk","241",uncommon,l,Not Owned,Non-foil,false,,,"u2.0, core","",54160,
"Mystic Monastery",0,"Land",WUR,"ktk","236",uncommon,l,Not Owned,Non-foil,false,,,"u2.0, core","",54162,
"Opulent Palace",0,"Land",UBG,"ktk","238",uncommon,l,Not Owned,Non-foil,false,,,"u2.0, core","",54164,
"Nomad Outpost",0,"Land",WBR,"ktk","237",uncommon,l,Not Owned,Non-foil,false,,,"u2.0, core","",54166,
"Frontier Bivouac",0,"Land",URG,"ktk","234",uncommon,l,Not Owned,Non-foil,false,,,"u2.0, core","",54168,
"Ash Barrens",0,"Land",,"a25","236",uncommon,l,Not Owned,Non-foil,false,,,"graveyard, u4.9, core","",67386,
"Castle Embereth",0,"Land",R,"eld","239",rare,l,Owned,Non-foil,false,,,"occasional","",78624,
"Castle Vantress",0,"Land",U,"eld","242",rare,l,Owned,Non-foil,false,,,"occasional","",78630,
"Evolving Wilds",0,"Land",,"bfz","236",common,l,Not Owned,Non-foil,false,,,"u2.0, core","",58527,
"Fabled Passage",0,"Land",,"eld","244",rare,l,Not Owned,Non-foil,false,,,"u4.8, core","",78634,
"Faerie Conclave",0,"Land",U,"cma","248",uncommon,l,Owned,Non-foil,false,,,"occasional","",,
"Ghitu Encampment",0,"Land",R,"ddn","33",uncommon,l,Owned,Non-foil,false,,,"occasional","",,
"Karn's Bastion",0,"Land",,"war","248",rare,l,Not Owned,Non-foil,false,,,"counters, manasink, counters_payoff, u4.7, core","",72102,
"Khalni Garden",0,"Land",G,"c18","262",common,l,Owned,Non-foil,false,,,"occasional","",,
"Llanowar Reborn",0,"Land",G,"c15","293",uncommon,l,Owned,Non-foil,false,,,"occasional","",,
"Mishra's Factory",0,"Land",,"a25","242",uncommon,l,Owned,Non-foil,false,,,"occasional","",67398,
"Mutavault",0,"Land",,"m14","228",rare,l,Not Owned,Non-foil,false,,,"tribal, manasink, u4.7.7, core","",49135,
"Terramorphic Expanse",0,"Land",,"arc","134",common,l,Not Owned,Non-foil,false,,,"u2.0, core","",,
"Thawing Glaciers",0,"Land",,"all","144",rare,l,Owned,Non-foil,false,,,"occasional","",,
"Treetop Village",0,"Land",G,"ddu","30",uncommon,l,Owned,Non-foil,false,,,"occasional","",,
"Westvale Abbey",0,"Land",B,"soi","281",rare,l,Owned,Non-foil,false,,,"occasional","",59810,
